gacha_id,banner_name,user_count,warp_count,jade_spent,avg_5_pity,avg_4_pity,rate_5050,image_url
1001,Steller Warp,,,,,,
4001,Departure Warp,,,,,,
2003,Butterfly on Swordtip,,,,,,
3003,In The Night,,,,,,
2004,Swirl of Heavenly Spear,,,,,,
3004,Before Dawn,,,,,,
2005,Contact Zero,,,,,,
3005,Incessant Rain,,,,,,
2006,Laic Pursuit,,,,,,
3006,Echoes of the Coffin,,,,,,
2007,A Lost Soul,,,,,,
3007,The Unreachable Side,,,,,,
2008,Nessun Dorma,,,,,,
3008,Patience is All You Need,,,,,,
2009,Epochal Spectrum,,,,,,
3009,Brighter Than the Sun,,,,,,
2010,"Foreseen, Foreknown, Foretold",,,,,,
3010,She Already Shut Her Eyes,,,,,,
2011,Gentle Eclipse of the Moon,,,,,,
3011,I Shall Be My Own Sword,,,,,,
2012,Sunset Clause,,,,,,
3012,"Worrisome, Blissful",,,,,,
2013,Butterfly on Swordtip,,,,,,
3013,In the Night,,,,,,
2014,Bloom in Gloom,,,,,,
3014,Night of Fright,,,,,,
2015,Thorns of Scented Crown,,,,,,
3015,An Instant Before A Gaze,,,,,,
2016,Contact Zero,,,,,,
3016,Incessant Rain,,,,,,
2017,Floral Triptych,,,,,,
3017,Past Self In Mirror,,,,,,
2018,A Lost Soul,,,,,,
3018,The Unreachable Side,,,,,,
2019,Panta Rhei,,,,,,
3019,Baptism of Pure Thought,,,,,,
2020,Nessun Dorma,,,,,,
3020,Patience Is All You Need,,,,,,
2021,Ripples in Reflection,,,,,,
3021,Reforged Remembrance,,,,,,
2022,Epochal Spectrum,,,,,,
3022,Brighter Than the Sun,,,,,,
2023,Sparking Splendor,,,,,,
3023,Earthly Escapade,,,,,,
2024,Swirl of Heavenly Spear,,,,,,
3024,Before Dawn,,,,,,
2025,Words of Yore,,,,,,
3025,Along the Passing Shore,,,,,,
2026,Laic Pursuit,,,,,,
3026,Echoes of the Coffin,,,,,,
2027,Gilded Imprisonment,,,,,,
3027,Inherently Unjust Destiny,,,,,,
2028,Gentle Eclipse of the Moon,,,,,,
3028,I Shall Be My Own Sword,,,,,,
2029,Just Intonation,,,,,,
3029,Flowing Nightglow,,,,,,
2030,Sunset Clause,,,,,,
3030,"Worrisome, Blissful",,,,,,
2031,Dusty Trail's Lone Star,,,,,,
3031,Sailing Towards a Second Life,,,,,,
2032,"Foreseen, Foreknown, Foretold",,,,,,
3032,She Already Shut Her Eyes,,,,,,
2033,Firefull Flyshine,,,,,,
3033,Whereabouts Should Dreams Rest,,,,,,
2034,Floral Triptych,,,,,,
3034,Past Self in Mirror,,,,,,
2035,"Lien on Life, Lease on Fate",,,,,,
3035,Yet Hope is Priceless,,,,,,
2036,Thorns of Scented Crown,,,,,,
3036,An Instant Before A Gaze,,,,,,
2037,"Earth Hurled, Ether Curled",,,,,,
3037,Dance at Sunset,,,,,,
2038,Bloom in Gloom,,,,,,
3038,Night of Fright,,,,,,
2039,Cauldron Contrivance,,,,,,
3039,Those Many Springs,,,,,,
2040,Sparking Splendor,,,,,,
3040,Earthly Escapade,,,,,,
2041,Stormrider's Bolt,,,,,,
3041,I Venture Forth to Hunt,,,,,,
2042,"Indelible Coterie: Robin",,,,,,
3042,Flowing Nightglow,,,,,,
2043,"Indelible Coterie: Black Swan",,,,,,
3043,Reforged Remembrance,,,,,,
2044,"Indelible Coterie: Kafka",,,,,,
3044,Patience Is All You Need,,,,,,
2045,Let Scent Sink In,,,,,,
3045,Scent Alone Stays True,,,,,,
2046,Sunset Clause,,,,,,
3046,"Worrisome, Blissful",,,,,,
2047,Eyes of a Ninja,,,,,,
3047,Ninjutsu Inscription: Dazzling Evilbreaker,,,,,,
2048,Epochal Spectrum,,,,,,
3048,Brighter Than the Sun,,,,,,
2049,Words of Yore,,,,,,
3049,Along the Passing Shore,,,,,,
2050,Gilded Imprisonment,,,,,,
3050,Inherently Unjust Destiny,,,,,,
2051,Eyes to the Stars,,,,,,
3051,A Grounded Ascent,,,,,,
2052,Swirl of Heavenly Spear,,,,,,
3052,Before Dawn,,,,,,
2053,The Long Voyage Home,,,,,,
3053,Long Road Leads Home,,,,,,
2054,Firefull Flyshine,,,,,,
3054,Whereabouts Should Dreams Rest,,,,,,
2055,Message From Beyond,,,,,,
3055,Into the Unreachable Veil,,,,,,
2056,"Indelible Coterie: Lingsha",,,,,,
3056,Scent Alone Stays True,,,,,,
2057,"Indelible Coterie: Feixiao",,,,,,
3057,I Venture Forth to Hunt,,,,,,
2058,"Indelible Coterie: Jade",,,,,,
3058,Yet Hope is Priceless,,,,,,
2059,"Tailored Fate",,,,,,
3059,Time Woven Into Gold,,,,,,
2060,"Indelible Coterie: Boothill",,,,,,
3060,Sailing Towards a Second Life,,,,,,
2061,"Indelible Coterie: Robin",,,,,,
3061,Flowing Nightglow,,,,,,
2062,"Indelible Coterie: Silver Wolf",,,,,,
3062,Incessant Rain,,,,,,
2063,Back to Fons et Origo,,,,,,
3063,If Time Were a Flower,,,,,,
2064,"Earth Hurled, Ether Curled",,,,,,
3064,Dance at Sunset,,,,,,
2065,Fiery Lionheart,,,,,,
3065,Flame of Blood Blaze My Path,,,,,,
2066,Bloom in Gloom,,,,,,
3066,Night of Fright,,,,,,
2067,Blossom to the Beyond,,,,,,
3067,Make Farewells More Beautiful,,,,,,
2068,"Indelible Coterie: Fugue",,,,,,
3068,Long Road Leads Home,,,,,,
2069,"Indelible Coterie: Jiaoqiu",,,,,,
3069,Those Many Springs,,,,,,
2070,"Indelible Coterie: Acheron",,,,,,
3070,Along the Passing Shore,,,,,,
